# zaprett build matrix: OpenWrt series, package architecture (downloads.openwrt.org/releases/<ver>/packages/),
# whether zaprett-nfqws / zaprett-nfqws2 exist for it (y) or the Makefile must refuse it (n).
# Arch lists checked 2026-09-17 against 25.12.5 and 24.10.8 directory listings.
# series arch nfqws nfqws2
25.12 aarch64_cortex-a53 y y
25.12 aarch64_cortex-a72 y y
25.12 aarch64_cortex-a76 y y
25.12 aarch64_generic y y
25.12 arm_arm1176jzf-s_vfp y y
25.12 arm_arm926ej-s n n
25.12 arm_cortex-a15_neon-vfpv4 y y
25.12 arm_cortex-a5_vfpv4 y y
25.12 arm_cortex-a7 y y
25.12 arm_cortex-a7_neon-vfpv4 y y
25.12 arm_cortex-a7_vfpv4 y y
25.12 arm_cortex-a8_vfpv3 y y
25.12 arm_cortex-a9 y y
25.12 arm_cortex-a9_neon y y
25.12 arm_cortex-a9_vfpv3-d16 y y
25.12 arm_fa526 n n
25.12 arm_xscale n n
25.12 armeb_xscale n n
25.12 i386_pentium-mmx y y
25.12 i386_pentium4 y y
25.12 loongarch64_generic n n
25.12 mips64_mips64r2 y y
25.12 mips64_octeonplus y y
25.12 mips64el_mips64r2 n n
25.12 mips_24kc y y
25.12 mips_mips32 y y
25.12 mipsel_24kc y y
25.12 mipsel_24kc_24kf y y
25.12 mipsel_74kc y y
25.12 mipsel_mips32 y y
25.12 powerpc64_e5500 n n
25.12 powerpc_464fp y y
25.12 powerpc_8548 y y
25.12 riscv64_generic n y
25.12 x86_64 y y
24.10 aarch64_cortex-a53 y y
24.10 aarch64_cortex-a72 y y
24.10 aarch64_cortex-a76 y y
24.10 aarch64_generic y y
24.10 arm_arm1176jzf-s_vfp y y
24.10 arm_arm926ej-s n n
24.10 arm_cortex-a15_neon-vfpv4 y y
24.10 arm_cortex-a5_vfpv4 y y
24.10 arm_cortex-a7 y y
24.10 arm_cortex-a7_neon-vfpv4 y y
24.10 arm_cortex-a7_vfpv4 y y
24.10 arm_cortex-a8_vfpv3 y y
24.10 arm_cortex-a9 y y
24.10 arm_cortex-a9_neon y y
24.10 arm_cortex-a9_vfpv3-d16 y y
24.10 arm_fa526 n n
24.10 arm_xscale n n
24.10 armeb_xscale n n
24.10 i386_pentium-mmx y y
24.10 i386_pentium4 y y
24.10 loongarch64_generic n n
24.10 mips64_mips64r2 y y
24.10 mips64_octeonplus y y
24.10 mips64el_mips64r2 n n
24.10 mips_24kc y y
24.10 mips_4kec y y
24.10 mips_mips32 y y
24.10 mipsel_24kc y y
24.10 mipsel_24kc_24kf y y
24.10 mipsel_74kc y y
24.10 mipsel_mips32 y y
24.10 powerpc64_e5500 n n
24.10 powerpc_464fp y y
24.10 powerpc_8548 y y
24.10 riscv64_riscv64 n y
24.10 x86_64 y y
