service	entry	verdict	reason	source
cloudflare	103.21.244.0/22	included	zaprett-cloudflare-ipset: в списке	official:https://www.cloudflare.com/ips-v4
cloudflare	103.22.200.0/22	included	zaprett-cloudflare-ipset: в списке	official:https://www.cloudflare.com/ips-v4
cloudflare	103.31.4.0/22	included	zaprett-cloudflare-ipset: в списке	official:https://www.cloudflare.com/ips-v4
cloudflare	104.16.0.0/13	included	zaprett-cloudflare-ipset: в списке	official:https://www.cloudflare.com/ips-v4
cloudflare	104.24.0.0/14	included	zaprett-cloudflare-ipset: в списке	official:https://www.cloudflare.com/ips-v4
cloudflare	108.162.192.0/18	included	zaprett-cloudflare-ipset: в списке	official:https://www.cloudflare.com/ips-v4
cloudflare	131.0.72.0/22	included	zaprett-cloudflare-ipset: в списке	official:https://www.cloudflare.com/ips-v4
cloudflare	141.101.64.0/18	included	zaprett-cloudflare-ipset: в списке	official:https://www.cloudflare.com/ips-v4
cloudflare	162.158.0.0/15	included	zaprett-cloudflare-ipset: в списке	official:https://www.cloudflare.com/ips-v4
cloudflare	172.64.0.0/13	included	zaprett-cloudflare-ipset: в списке	official:https://www.cloudflare.com/ips-v4
cloudflare	173.245.48.0/20	included	zaprett-cloudflare-ipset: в списке	official:https://www.cloudflare.com/ips-v4
cloudflare	188.114.96.0/20	included	zaprett-cloudflare-ipset: в списке	official:https://www.cloudflare.com/ips-v4
cloudflare	190.93.240.0/20	included	zaprett-cloudflare-ipset: в списке	official:https://www.cloudflare.com/ips-v4
cloudflare	197.234.240.0/22	included	zaprett-cloudflare-ipset: в списке	official:https://www.cloudflare.com/ips-v4
cloudflare	198.41.128.0/17	included	zaprett-cloudflare-ipset: в списке	official:https://www.cloudflare.com/ips-v4
cloudflare	2400:cb00::/32	included	zaprett-cloudflare-ipset6: в списке	official:https://www.cloudflare.com/ips-v6
cloudflare	2405:8100::/32	included	zaprett-cloudflare-ipset6: в списке	official:https://www.cloudflare.com/ips-v6
cloudflare	2405:b500::/32	included	zaprett-cloudflare-ipset6: в списке	official:https://www.cloudflare.com/ips-v6
cloudflare	2606:4700::/32	included	zaprett-cloudflare-ipset6: в списке	official:https://www.cloudflare.com/ips-v6
cloudflare	2803:f800::/32	included	zaprett-cloudflare-ipset6: в списке	official:https://www.cloudflare.com/ips-v6
cloudflare	2a06:98c0::/29	included	zaprett-cloudflare-ipset6: в списке	official:https://www.cloudflare.com/ips-v6
cloudflare	2c0f:f248::/32	included	zaprett-cloudflare-ipset6: в списке	official:https://www.cloudflare.com/ips-v6
discord	*.discord.co	covered	поддоменов из CT, страниц и сессий: 1, покрыты discord.co	ct/page/session
discord	*.discord.com	covered	поддоменов из CT, страниц и сессий: 66, покрыты discord.com	ct/page/session
discord	*.discord.gg	covered	поддоменов из CT, страниц и сессий: 5, покрыты discord.gg	ct/page/session
discord	*.discord.media	covered	поддоменов из CT, страниц и сессий: 1, покрыты discord.media	ct/page/session
discord	*.discord.tools	covered	поддоменов из CT, страниц и сессий: 2, покрыты discord.tools	ct/page/session
discord	*.discordapp.com	covered	поддоменов из CT, страниц и сессий: 10, покрыты discordapp.com	ct/page/session
discord	*.discordapp.net	covered	поддоменов из CT, страниц и сессий: 6, покрыты discordapp.net	ct/page/session
discord	66.22.192.0/18	owner	RDAP: registrant: Discord Inc.	rdap:https://rdap.db.ripe.net/ip/66.22.192.0/18
discord	66.22.196.0/22	included	zaprett-discord-voice: в списке	ripestat:AS49544 (i3Dnet i3D.net B.V, 2026-09-08..2026-09-22)
discord	66.22.200.0/22	included	zaprett-discord-voice: агрегирована в 66.22.200.0/21	ripestat:AS49544 (i3Dnet i3D.net B.V, 2026-09-08..2026-09-22)
discord	66.22.204.0/22	included	zaprett-discord-voice: агрегирована в 66.22.200.0/21	ripestat:AS49544 (i3Dnet i3D.net B.V, 2026-09-08..2026-09-22)
discord	66.22.208.0/22	included	zaprett-discord-voice: агрегирована в 66.22.208.0/21	ripestat:AS49544 (i3Dnet i3D.net B.V, 2026-09-08..2026-09-22)
discord	66.22.212.0/22	included	zaprett-discord-voice: агрегирована в 66.22.208.0/21	ripestat:AS49544 (i3Dnet i3D.net B.V, 2026-09-08..2026-09-22)
discord	66.22.218.0/23	included	zaprett-discord-voice: в списке	ripestat:AS49544 (i3Dnet i3D.net B.V, 2026-09-08..2026-09-22)
discord	66.22.220.0/23	included	zaprett-discord-voice: агрегирована в 66.22.220.0/22	ripestat:AS49544 (i3Dnet i3D.net B.V, 2026-09-08..2026-09-22)
discord	66.22.222.0/23	included	zaprett-discord-voice: агрегирована в 66.22.220.0/22	ripestat:AS49544 (i3Dnet i3D.net B.V, 2026-09-08..2026-09-22)
discord	66.22.224.0/23	included	zaprett-discord-voice: агрегирована в 66.22.224.0/22	ripestat:AS49544 (i3Dnet i3D.net B.V, 2026-09-08..2026-09-22)
